threshold,tp,tn,fp,fn,precision,recall,f1,fpr,positive_rate
0.74,30,4707,1,306,0.967741935483871,0.08928571428571429,0.16348773841961853,0.00021240441801189465,0.006145915939730373
0.7449999999999999,28,4707,1,308,0.9655172413793104,0.08333333333333333,0.15342465753424656,0.00021240441801189465,0.005749405233941317
0.7499999999999999,26,4707,1,310,0.9629629629629629,0.07738095238095238,0.14325068870523416,0.00021240441801189465,0.00535289452815226
0.7549999999999999,24,4707,1,312,0.96,0.07142857142857142,0.13296398891966757,0.00021240441801189465,0.0049563838223632035
0.7599999999999999,22,4707,1,314,0.9565217391304348,0.06547619047619048,0.12256267409470753,0.00021240441801189465,0.004559873116574148
0.7649999999999999,22,4707,1,314,0.9565217391304348,0.06547619047619048,0.12256267409470753,0.00021240441801189465,0.004559873116574148
0.7699999999999999,22,4707,1,314,0.9565217391304348,0.06547619047619048,0.12256267409470753,0.00021240441801189465,0.004559873116574148
0.7749999999999999,21,4707,1,315,0.9545454545454546,0.0625,0.11731843575418995,0.00021240441801189465,0.0043616177636796195
0.7799999999999999,20,4707,1,316,0.9523809523809523,0.05952380952380952,0.11204481792717086,0.00021240441801189465,0.004163362410785091
0.7849999999999999,20,4707,1,316,0.9523809523809523,0.05952380952380952,0.11204481792717086,0.00021240441801189465,0.004163362410785091
0.7899999999999999,20,4707,1,316,0.9523809523809523,0.05952380952380952,0.11204481792717086,0.00021240441801189465,0.004163362410785091
0.7949999999999999,18,4707,1,318,0.9473684210526315,0.05357142857142857,0.10140845070422536,0.00021240441801189465,0.003766851704996035
0.7999999999999999,17,4707,1,319,0.9444444444444444,0.050595238095238096,0.096045197740113,0.00021240441801189465,0.0035685963521015066
0.8049999999999999,16,4707,1,320,0.9411764705882353,0.047619047619047616,0.09065155807365437,0.00021240441801189465,0.0033703409992069788
0.8099999999999999,16,4707,1,320,0.9411764705882353,0.047619047619047616,0.09065155807365437,0.00021240441801189465,0.0033703409992069788
0.815,13,4707,1,323,0.9285714285714286,0.03869047619047619,0.0742857142857143,0.00021240441801189465,0.0027755749405233942
0.82,13,4707,1,323,0.9285714285714286,0.03869047619047619,0.0742857142857143,0.00021240441801189465,0.0027755749405233942
0.825,12,4707,1,324,0.9230769230769231,0.03571428571428571,0.06876790830945559,0.00021240441801189465,0.002577319587628866
0.83,12,4707,1,324,0.9230769230769231,0.03571428571428571,0.06876790830945559,0.00021240441801189465,0.002577319587628866
0.835,10,4707,1,326,0.9090909090909091,0.02976190476190476,0.057636887608069155,0.00021240441801189465,0.0021808088818398097
0.84,8,4707,1,328,0.8888888888888888,0.023809523809523808,0.0463768115942029,0.00021240441801189465,0.0017842981760507533
0.845,7,4707,1,329,0.875,0.020833333333333332,0.04069767441860465,0.00021240441801189465,0.0015860428231562252
0.8499999999999999,5,4707,1,331,0.8333333333333334,0.01488095238095238,0.029239766081871343,0.00021240441801189465,0.0011895321173671688
